true,0.612,0,NO_LO
true,0.8175,0,NO_LO
true,0.8175,0,NO_LO
true,1.6124,0,LAND_ORT
true,0.612,0,NO_LO
true,1.6124,0,NO_LO
false,1.0122,0,NO_LO
true,1.6124,0,NO_LO
false,1.3711,0,NO_LO
true,0.612,0,NO_LO
false,1.3718,0,NO_LO
false,1.3785,0,NO_LO
false,0,0,NO_LO
true,1.4182,0,NO_LO
true,0.612,0,NO_LO
2014-11-28_13:39:40,Michael Jackson Bad,true,1.3879,1.5,NO_LO
2014-11-28_13:39:50,Michael Jackson  Bad Song,true,1.3059,1.5,NO_LO
2014-11-28_13:40:14,zlatan Ibrahimovic ORT,false,0,0.4286,LAND_ORT
2014-11-28_13:40:45,Michael Jackson ORT,false,0,0.4286,NO_LO
2014-11-28_13:41:33,Michael Jordan ORT,false,0,0.4286,NO_LO
2014-11-28_14:52:55,Jason Statham Songs in Kenitra,true,0.612,0,NO_LO
2014-11-28_14:56:29,Jason Statham Songs in Kenitra,true,0.612,0,NO_LO
2014-11-28_17:38:39,Jason Statham Songs in Kenitra,true,0.612,0,NO_LO
2014-11-28_17:48:47,Elvis Presley Oper,false,0,0.1429,NO_LO
2014-12-01_14:23:41,lionel richie spanien konzert,false,0,1.7143,LAND_ORT
2014-12-01_14:23:52,lionel richie kroatien,false,0,1.7143,LAND_ORT
2014-12-01_17:24:49,michael jackson München,true,0,0,NO_LO
2014-12-01_17:24:52,michael jackson München konzert,true,0,0,LAND_ORT
2014-12-01_17:31:32,Arnold Schwarzenegger Kalifornien,false,0,0.5714,LAND_ORT
2014-12-02_12:49:48,Rebecca Black Texas,false,0,0.5714,LAND_ORT
2014-12-02_12:50:26,Gerard Depardieu Russland,false,0,0.5714,NO_LO
2014-12-02_12:50:35,michael wendler wohnort,false,0,0.1429,LAND_ORT
2014-12-02_12:50:47,michael wendler zuhause,false,0,0.2857,LAND_ORT
2014-12-02_12:50:53,michael wendler stadt,false,0,0.0714,LAND_ORT
2014-12-02_12:50:59,Michael Wendler Dschungel,false,0,0.0714,LAND_ORT
2014-12-02_12:52:55,Michael Wendler Dschungel,false,0,0.0714,NO_LO
