@relation musik_ressourcen_train_table


@attribute location_found {false, true}
@attribute similarity_to_music_en numeric
@attribute similarity_to_music_de numeric
@attribute similarity_to_location_de numeric
@attribute similarity_to_family_de numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {MUSIK_RESSOURCEN,NO_MR}


@data
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
true,1.5218,0,0.143,0,0.143,NO_MR
true,0,0.333,0.214,0,0.941,NO_MR
true,1.1325,0,0,0,0.758,NO_MR
false,0,0.222,0,0,0.0,MUSIK_RESSOURCEN
false,2.1944,0,0,0,0.0,NO_MR
false,1.5218,0,0,0,0.0,MUSIK_RESSOURCEN
false,2.7777,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.444,0,0,0.111,MUSIK_RESSOURCEN
false,1.2438,0,0.071,0,0.071,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.5218,0,0,0,0.0,NO_MR
false,1.0224,0,0,0,0.0,NO_MR
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,2.4347,0,0,0,0.0,NO_MR
false,1.0961,0,0,0,0.0,NO_MR
false,3.0436,0,0,0,0.0,NO_MR
false,0,0,0,0,0.0,NO_MR
false,1.0714,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.0943,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,1.5218,0,0,1.667,1.667,NO_MR
false,1.394,0.333,0,0,0.0,MUSIK_RESSOURCEN
false,1.5218,0,1.714,0,1.714,NO_MR
false,1.4924,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0,0,0,1.143,NO_MR
false,1.351,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.394,0.111,0,0,0.202,MUSIK_RESSOURCEN
true,2.8586,0,0,0,0.0,NO_MR
false,1.5218,0,1.714,0,1.714,MUSIK_RESSOURCEN
false,1.1726,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.111,0,0,0.0,MUSIK_RESSOURCEN
false,1.2578,0,0,0,0.0,MUSIK_RESSOURCEN
false,2.3106,0,0,0,0.0,NO_MR
false,1.1726,0,0,0.083,0.923,MUSIK_RESSOURCEN
false,1.0961,0,0,0,0.0,MUSIK_RESSOURCEN
false,2.2287,0,0,0,0.0,NO_MR
false,1.5218,0,1.714,0,1.714,NO_MR
false,2.641,0,0.071,0,0.071,NO_MR
false,1.3592,0.111,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.444,0,0,0.0,MUSIK_RESSOURCEN
false,1.0961,0,0,0,0.0,MUSIK_RESSOURCEN
true,1.5218,0,0.143,0,0.143,NO_MR
false,0,0,1.357,0,1.357,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.333,0,0,0.091,MUSIK_RESSOURCEN
false,1.2578,0.222,0,0,0.0,NO_MR
false,1.635,0,0,0,0.0,MUSIK_RESSOURCEN
true,1.1726,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.2759,0,0,0,0.0,NO_MR
false,1.1043,0.556,0,0,0.0,MUSIK_RESSOURCEN
false,1.2918,0,0,0,0.0,NO_MR
false,1.2077,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.0961,0,0,0,0.0,MUSIK_RESSOURCEN
true,1.4409,0,1.5,0,1.591,NO_MR
true,1.5218,0,0.143,0,0.143,NO_MR
