@relation musik_ressourcen_test_table



@attribute location_found {false, true}
@attribute music_class numeric
@attribute music_klasse numeric
@attribute location_klasse numeric
@attribute family_klasse numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}



@data
false,1.0961,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.022,0,0,0,0.0,MUSIK/RESSOURCEN
false,2.8728,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.176,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.1762,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.351,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0.8909,0,0,0,1.091,NACHRICHTEN/INFORMATION
false,1.4196,0,0,0,0.182,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.2637,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.667,0,0,0.0,MUSIK/RESSOURCEN
false,2.905,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.0943,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0.8909,0,1.357,0,1.357,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.446,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
true,1.186,0,0,0,0.313,NACHRICHTEN/INFORMATION
false,3.025,0,0.071,0,0.071,MUSIK/RESSOURCEN
false,1.094,0.667,0.071,0,0.071,MUSIK/RESSOURCEN
false,0,0.222,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.444,0,0,0.111,MUSIK/RESSOURCEN
