@relation musik_ressourcen_train_table


@attribute music_class numeric
@attribute music_klasse numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}


@data
0,0,MUSIK/RESSOURCEN
1.4052,0.222,NACHRICHTEN/INFORMATION
1.3731,0,NACHRICHTEN/INFORMATION
0,0,NACHRICHTEN/INFORMATION
1.4992,0,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
2.4875,0,MUSIK/RESSOURCEN
0,0,NACHRICHTEN/INFORMATION
1.4992,0,NACHRICHTEN/INFORMATION
1.0095,0,NACHRICHTEN/INFORMATION
0,0.444,MUSIK/RESSOURCEN
1.2145,0,MUSIK/RESSOURCEN
0,0.889,MUSIK/RESSOURCEN
1.0787,0.222,MUSIK/RESSOURCEN
2.9985,0,NACHRICHTEN/INFORMATION
2.5711,0,NACHRICHTEN/INFORMATION
1.74,0.667,MUSIK/RESSOURCEN
2.6519,0,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
1.3703,0,NACHRICHTEN/INFORMATION
1.4992,0,NACHRICHTEN/INFORMATION
0,0,NACHRICHTEN/INFORMATION
1.567,0.111,NACHRICHTEN/INFORMATION
0,0,NACHRICHTEN/INFORMATION
2.899,0,NACHRICHTEN/INFORMATION
1.2804,0,NACHRICHTEN/INFORMATION
1.0134,0,NACHRICHTEN/INFORMATION
2.7715,0,NACHRICHTEN/INFORMATION
1.27,0.667,MUSIK/RESSOURCEN
0,0.667,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
0.6822,0.667,MUSIK/RESSOURCEN
1.5175,0,MUSIK/RESSOURCEN
2.6711,0,NACHRICHTEN/INFORMATION
1.4992,0,NACHRICHTEN/INFORMATION
0.6822,0,NACHRICHTEN/INFORMATION
1.1351,0,NACHRICHTEN/INFORMATION
1.1907,0,NACHRICHTEN/INFORMATION
0,0.444,MUSIK/RESSOURCEN
1.3313,0,MUSIK/RESSOURCEN
0,0.667,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
1.1544,0,NACHRICHTEN/INFORMATION
3.1043,0,NACHRICHTEN/INFORMATION
0,0.667,MUSIK/RESSOURCEN
1.2398,0,NACHRICHTEN/INFORMATION
0,0,NACHRICHTEN/INFORMATION
2.1856,0,NACHRICHTEN/INFORMATION
1.4016,0,NACHRICHTEN/INFORMATION
0,0.667,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
0,0,NACHRICHTEN/INFORMATION
0,0,MUSIK/RESSOURCEN
1.3176,0,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
1.3084,0,NACHRICHTEN/INFORMATION
1.2388,0.222,MUSIK/RESSOURCEN
0,0,NACHRICHTEN/INFORMATION
1.4016,0.111,MUSIK/RESSOURCEN
1.5282,0,MUSIK/RESSOURCEN
1.2733,0.333,MUSIK/RESSOURCEN
1.4496,0,MUSIK/RESSOURCEN
2.8028,0,NACHRICHTEN/INFORMATION
1.4801,0,NACHRICHTEN/INFORMATION
1.1287,0,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
1.4236,0,MUSIK/RESSOURCEN
1.5175,0,MUSIK/RESSOURCEN
0,0,NACHRICHTEN/INFORMATION
0.754,0,MUSIK/RESSOURCEN
2.4692,0,NACHRICHTEN/INFORMATION
1.1544,0,NACHRICHTEN/INFORMATION
1.2391,0,MUSIK/RESSOURCEN
1.5601,0,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
1.2215,0,MUSIK/RESSOURCEN
1.4801,0,NACHRICHTEN/INFORMATION
1.535,0,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
1.4992,0,NACHRICHTEN/INFORMATION
1.2145,0.667,MUSIK/RESSOURCEN
2.8696,0,NACHRICHTEN/INFORMATION
2.6537,0,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
1.4992,0,NACHRICHTEN/INFORMATION
1.0992,0,NACHRICHTEN/INFORMATION
1.4992,0,MUSIK/RESSOURCEN
