@relation musik_ressourcen_train_table


@attribute music_class numeric
@attribute news_class numeric
@attribute music_klasse numeric
@attribute news_klasse numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}


@data
3.5142,3.5916,0,0.667,MUSIK/RESSOURCEN
0,0,0.667,0,MUSIK/RESSOURCEN
0,0,0.667,0,MUSIK/RESSOURCEN
1.4801,1.2772,0,0,NACHRICHTEN/INFORMATION
0,0,0.222,0,MUSIK/RESSOURCEN
2.8028,2.9815,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
0,0,0.333,0,NACHRICHTEN/INFORMATION
1.2183,1.1512,0.667,0,MUSIK/RESSOURCEN
1.0322,1.0322,0,0,NACHRICHTEN/INFORMATION
2.5016,2.2532,0,0,NACHRICHTEN/INFORMATION
1.5175,1.717,0,0,MUSIK/RESSOURCEN
1.74,1.464,0.667,0,MUSIK/RESSOURCEN
1.567,1.399,0.111,0,NACHRICHTEN/INFORMATION
1.4742,1.5531,0,0,MUSIK/RESSOURCEN
0,0,0,0,MUSIK/RESSOURCEN
1.1907,1.2197,0,0,NACHRICHTEN/INFORMATION
1.4052,1.5821,0.222,0,NACHRICHTEN/INFORMATION
0,0,0.333,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,NACHRICHTEN/INFORMATION
2.9985,3.1457,0,0,NACHRICHTEN/INFORMATION
2.7725,2.7647,0.111,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.5601,1.5821,0,0,MUSIK/RESSOURCEN
1.2081,1.2615,0,0,MUSIK/RESSOURCEN
1.4016,1.64,0.111,0,MUSIK/RESSOURCEN
1.4801,1.2772,0,0,NACHRICHTEN/INFORMATION
2.65,2.6479,0,0,MUSIK/RESSOURCEN
1.3731,1.4086,0,0,NACHRICHTEN/INFORMATION
1.4016,1.5189,0,0,NACHRICHTEN/INFORMATION
1.2804,1.1315,0,0,NACHRICHTEN/INFORMATION
1.5175,1.717,0,0,MUSIK/RESSOURCEN
0,0,0.222,0,NACHRICHTEN/INFORMATION
0,0,0,0,NACHRICHTEN/INFORMATION
1.2069,1.1478,0,0,NACHRICHTEN/INFORMATION
0,0,0.667,0,MUSIK/RESSOURCEN
0,0,0,0,MUSIK/RESSOURCEN
1.4978,1.567,0,0,MUSIK/RESSOURCEN
1.0768,0.9862,0,0,MUSIK/RESSOURCEN
2.8296,2.4939,0,0,MUSIK/RESSOURCEN
0.6822,0.4864,0.667,0,MUSIK/RESSOURCEN
1.4016,1.5189,0,0,NACHRICHTEN/INFORMATION
1.5175,1.717,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
0,0,0.667,0,MUSIK/RESSOURCEN
2.6537,2.1243,0,0,MUSIK/RESSOURCEN
2.7321,2.9276,0,0,MUSIK/RESSOURCEN
1.1328,1.2197,0,0,MUSIK/RESSOURCEN
0.9214,0.4864,0,0,MUSIK/RESSOURCEN
2.6519,2.6857,0,0,MUSIK/RESSOURCEN
1.1544,1.0561,0,0,MUSIK/RESSOURCEN
0,0,0.333,0,MUSIK/RESSOURCEN
1.2398,1.0772,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
0,0,0.222,0,MUSIK/RESSOURCEN
1.1544,1.0561,0,0,MUSIK/RESSOURCEN
1.3998,1.3345,0,0,NACHRICHTEN/INFORMATION
1.2388,1.1312,0.556,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.1907,1.2197,0.667,0.222,MUSIK/RESSOURCEN
0,0,0,0.667,NACHRICHTEN/INFORMATION
1.535,1.647,0,0.333,MUSIK/RESSOURCEN
1.663,1.4734,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,NACHRICHTEN/INFORMATION
2.9985,3.1457,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
0,0,0.222,0,MUSIK/RESSOURCEN
0,0,0.667,0,MUSIK/RESSOURCEN
0,0,0,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.0768,0.9862,0,0,NACHRICHTEN/INFORMATION
1.1287,1.2711,0,0.667,NACHRICHTEN/INFORMATION
2.8696,2.762,0,0,NACHRICHTEN/INFORMATION
0,0,0.444,0.111,MUSIK/RESSOURCEN
1.2733,1.1918,0.111,0,MUSIK/RESSOURCEN
0,0,0,0.333,NACHRICHTEN/INFORMATION
2.4534,2.5671,0,0,NACHRICHTEN/INFORMATION
0,0,0.667,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.27,1.2213,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.3035,1.4086,0,0,NACHRICHTEN/INFORMATION
1.2388,1.1312,0.222,0,MUSIK/RESSOURCEN
1.2733,1.1918,0.333,0,MUSIK/RESSOURCEN
0,0,0.444,0.111,MUSIK/RESSOURCEN
2.6711,2.777,0,0,NACHRICHTEN/INFORMATION
1.5282,1.3611,0,0,MUSIK/RESSOURCEN
1.3965,1.4086,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
2.2471,2.2362,0,0,NACHRICHTEN/INFORMATION
1.535,1.647,0,0.333,MUSIK/RESSOURCEN
1.0813,1.1375,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4016,1.5189,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
1.1287,1.2711,0,0.667,NACHRICHTEN/INFORMATION
1.0095,1.0616,0,0,NACHRICHTEN/INFORMATION
1.1907,1.2197,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
1.1544,1.0561,0.222,0,MUSIK/RESSOURCEN
1.2145,1.3096,0,0,MUSIK/RESSOURCEN
1.1544,1.0561,0,0,NACHRICHTEN/INFORMATION
1.4016,1.64,0.111,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.0134,0.9336,0,0,NACHRICHTEN/INFORMATION
0,0,0.444,0,MUSIK/RESSOURCEN
0.9855,1.0985,0.222,0,MUSIK/RESSOURCEN
1.3998,1.3345,0,0,NACHRICHTEN/INFORMATION
3.0167,3.2898,0,0,MUSIK/RESSOURCEN
0,0,0,0.333,NACHRICHTEN/INFORMATION
1.325,1.2451,0,0,NACHRICHTEN/INFORMATION
1.1544,1.1713,0.556,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,MUSIK/RESSOURCEN
