@relation land_ort_train_table


@attribute location_found {false, true}
@attribute location_class numeric
@attribute location_klasse numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {LAND/ORT, NACHRICHTEN/INFORMATION}


@data
true,1.4762,1.5,0.182,LAND/ORT
true,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,1.2789,0.5,0.0,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,LAND/ORT
true,1.279,0,0.0,LAND/ORT
false,1.7572,0.143,0.0,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
true,3.1293,0,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
false,1.2789,0,0.143,NACHRICHTEN/INFORMATION
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,LAND/ORT
true,1.7572,0.143,0.0,LAND/ORT
false,1.1901,0,0.182,NACHRICHTEN/INFORMATION
false,0,0,0.667,NACHRICHTEN/INFORMATION
false,1.2671,0,0.0,LAND/ORT
false,0,0,0.91,NACHRICHTEN/INFORMATION
false,1.109,0,0.444,NACHRICHTEN/INFORMATION
true,1.7572,0.071,0.0,LAND/ORT
false,2.8482,0,0.444,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
false,0,0,0.444,NACHRICHTEN/INFORMATION
false,1.7572,0.357,0.0,LAND/ORT
false,1.4687,0,0.182,NACHRICHTEN/INFORMATION
true,0,0.143,0.0,LAND/ORT
true,1.757,0.143,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
true,0,0.286,0.697,LAND/ORT
false,1.2035,0,0.429,NACHRICHTEN/INFORMATION
true,1.7572,0.429,0.0,LAND/ORT
false,1.757,1.714,0.0,LAND/ORT
false,3.5145,0,0.0,NACHRICHTEN/INFORMATION
false,1.6593,0,0.111,NACHRICHTEN/INFORMATION
false,0,0,2.525,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0.0,LAND/ORT
false,0,1.714,0.0,LAND/ORT
false,1.757,1.714,0.0,LAND/ORT
true,1.7572,0.071,0.0,LAND/ORT
false,1.7572,0.571,0.0,NACHRICHTEN/INFORMATION
false,0.9708,1.357,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,1.7572,1.714,0.0,LAND/ORT
true,1.7572,0.286,0.0,LAND/ORT
true,1.7572,0.143,0.0,LAND/ORT
false,0.9005,0,0.0,LAND/ORT
false,2.755,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.667,NACHRICHTEN/INFORMATION
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
true,0,0.357,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0,0.0,LAND/ORT
false,0,0,0.404,NACHRICHTEN/INFORMATION
