@relation land_ort_train_table


@attribute location_found {false, true}
@attribute location_class numeric
@attribute location_klasse numeric
@attribute music_klasse numeric
@attribute body_klasse numeric
@attribute news_klasse numeric
@attribute career_klasse numeric
@attribute career_klasse numeric
@attribute class {LAND/ORT, NACHRICHTEN/INFORMATION}


@data
false,1.279,0.143,0,0,0,0,0,LAND/ORT
true,0,0.143,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0.143,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
true,1.757,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.109,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.2779,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
true,0,0.143,0.111,0,0,0.182,0.182,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,3.0351,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0.143,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.7572,1.714,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.377,0.071,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
false,1.0392,0.143,0,0,0,0,0,LAND/ORT
true,1.757,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,1.109,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0.667,0.091,0.091,LAND/ORT
false,2.3819,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
false,1.109,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,LAND/ORT
false,2.5622,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0.455,0.455,NACHRICHTEN/INFORMATION
true,1.267,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0.111,0,0.111,0.091,0.091,NACHRICHTEN/INFORMATION
false,2.235,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.0343,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.4243,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.357,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.071,0,0,0,0.727,0.727,LAND/ORT
true,1.757,0,0,0,0,0,0,LAND/ORT
false,2.6025,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.3721,0,0,0,0,0,0,LAND/ORT
true,1.757,0.143,0,0,0,0,0,LAND/ORT
true,1.757,0.286,0,0,0,0,0,LAND/ORT
true,0,0.143,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2.2427,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
true,1.4762,1.5,0,0,0,0.091,0.091,LAND/ORT
true,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.2789,0.5,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,LAND/ORT
true,1.279,0,0,0,0,0,0,LAND/ORT
false,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,3.1293,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.2789,0,0,0.143,0,0,0,NACHRICHTEN/INFORMATION
false,1.109,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
