@relation land_ort_test_table


@attribute location_found {false, true}
@attribute location_class numeric
@attribute location_klasse numeric
@attribute music_klasse numeric
@attribute body_klasse numeric
@attribute news_klasse numeric
@attribute career_klasse numeric
@attribute career_klasse numeric
@attribute class {LAND/ORT, NACHRICHTEN/INFORMATION}


@data
true,1.757,0.143,0,0,0,0,0,LAND/ORT
true,1.7572,0.286,0,0,0,0,0,LAND/ORT
false,0,0,0.667,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.4636,0,0,0,0,0.182,0.182,NACHRICHTEN/INFORMATION
true,0,0.214,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.1126,0.143,0,0,1.333,0.182,0.182,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0.818,0.818,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
true,0.9651,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,2.9608,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0.364,0.364,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0.143,0,0,0,0,0,LAND/ORT
false,1.377,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0.143,0,0,0,0,0,LAND/ORT
false,2.643,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.2035,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0.143,0,0,0,0,0,LAND/ORT
false,1.2779,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
false,2.58,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.0392,0.571,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,0,1.5,0,0,0,0.091,0.091,LAND/ORT
false,1.1126,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0,0,0,0,0,0,LAND/ORT
false,1.1918,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
true,1.757,0,0,0,0,0,0,LAND/ORT
false,0,1.714,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0.364,0.364,LAND/ORT
false,1.3606,0,0,0,0,0,0,LAND/ORT
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,1.3721,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0.9651,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0.286,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.222,0.091,0.091,NACHRICHTEN/INFORMATION
true,0,0.214,0,0,0,0,0,LAND/ORT
false,0,0,0.333,0,0,0.091,0.091,NACHRICHTEN/INFORMATION
false,0,0,0.333,0,0,0.091,0.091,NACHRICHTEN/INFORMATION
false,1.2919,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
true,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.222,0,0,0.545,0.545,NACHRICHTEN/INFORMATION
false,1.7572,0.357,0,0,0,0,0,LAND/ORT
false,3.1343,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.3233,0,0,0,0,0.182,0.182,NACHRICHTEN/INFORMATION
false,0,1.357,0,0,0,0,0,LAND/ORT
false,1.2779,0,0,0,0.333,0.091,0.091,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.1126,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2.7227,0,0,0,0,0,0,LAND/ORT
true,1.476,1.5,0,0,0,0.091,0.091,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.1126,0,0.111,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,1.714,0,0,0,0,0,LAND/ORT
true,1.7572,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2.013,0,0,0,0.667,0.091,0.091,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
true,1.7572,0,0,0,0,0,0,LAND/ORT
false,1.1901,0,0.111,0,0,0,0,NACHRICHTEN/INFORMATION
false,0.8399,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2.949,0,0,0,0,0,0,LAND/ORT
false,1.7572,2.143,0,0,0,0,0,LAND/ORT
false,1.2671,0,0,0,0,0,0,LAND/ORT
true,0.9651,0,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.2789,0.143,0,0,0,0,0,LAND/ORT
false,1.109,0,0.222,0,0,0.182,0.182,NACHRICHTEN/INFORMATION
true,1.757,0.286,0,0,0,0,0,LAND/ORT
false,1.2779,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.643,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.4762,1.5,0,0,0,0.091,0.091,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,2.7964,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
