id,location_name,location_iata,location_state,location_art
d080bbf4-8876-4c6e-8c3c-579330491ff2,Ascona,ACO,Schweiz,int
3367be7f-c27b-4e9d-a935-e32f9cf9df95,Oakdale (Louisiana),ACP,Vereinigte Staaten,int
db3e6fcc-f243-4c19-b722-284a6c99473b,Waseca,ACQ,Vereinigte Staaten,int
fa695ff3-9f7f-42a1-ae11-c134b2fe52ad,Araracuara,ACR,Kolumbien,int
e76eb86b-6260-46ae-8e1e-273b26c39e78,Anacortes,ACS,Vereinigte Staaten,int
e329e00e-c921-47b3-ba6f-816f37fa8946,Atschinsk,ACS,Russland,int
c38dfe18-29df-463e-a81a-986c90086a9b,Waco,ACT,Vereinigte Staaten,int
88f56305-cad1-4a9a-9abc-b82cbaf308d4,Achutupo,ACU,Panama,int
34865efb-19d6-4e64-acd9-5afff6783f79,McKinleyville-Arcata-Eureka (Kalifornien),ACV,Vereinigte Staaten,int
c06ea5fa-da27-49d9-9b53-67afe8f67752,Atlantic City (New Jersey) Atlantic City,ACY,Vereinigte Staaten,int
3db9735f-1f1a-4145-947e-710eb7724843,Wallace (North Carolina),ACZ,Vereinigte Staaten,int
fabe219e-cb2a-4338-b54e-529b71c92792,Zabol,ACZ,Iran,int
8698911c-d7a5-408d-881a-01a1ec11a933,Adana,ADA,Türkei,int
64f79765-d859-4765-9380-9138828389b5,Izmir,ADB,Türkei,int
1af9b6fc-176a-4673-9cf5-b4cac2b0d783,Andakombe,ADC,Papua-Neuguinea,int
c93400b1-05ec-4074-b91a-db7c3a6eb23e,Addis Abeba,ADD,Äthiopien,int
58f7eae3-f182-4af8-b729-e70ad1e7ab1f,Aden,ADE,Jemen,int
89d122d2-cd41-4c09-a71f-4622ddeb277f,Adiyaman,ADF,Türkei,int
3d548592-454c-4b23-ba4d-ddadc0674ad0,Adiyaman,ADF,Türkei,int
7743c5db-9132-40f0-a7c5-8c7472405535,Adrian,ADG,Vereinigte Staaten,int
537dcc0b-9abc-40e7-af81-76899e08e414,Aldan,ADH,Russland,int
6d4db949-19aa-479a-86c6-ade28209cc6c,Ada,ADH,Vereinigte Staaten,int
71d7a481-44e2-4d7f-b7a1-859c8abb5e4b,Arandis-Swakopmund,ADI,Namibia,int
3f8a6eaf-447a-43ad-8990-d4561b74eeb2,Amman,ADJ,Jordanien,int
7f8f9502-644f-42e4-a7b8-2a3ac628a6aa,Adak,ADK,Vereinigte Staaten,int
97b842c4-e456-4ee9-a04a-843d45116159,Adelaide,ADL,Australien,int
03cefe14-9ae6-41a2-8058-25892d6beef9,Ardmore,ADM,USA,int
1b92ae2f-b63b-452f-b869-b74da92c01cb,Andes,ADN,Kolumbien,int
b2715abc-40a4-482f-b49f-983a6a7596ac,Andamooka,ADO,Australien,int
80626f45-86c7-40f6-8c9b-454ded8b21bb,Anuradhapura,ADP,Sri Lanka,int
b922ad14-7e8e-478c-b77c-113ebcaa9974,Kodiak-Insel,ADQ,Vereinigte Staaten,int
4aaa87a4-febe-473d-9fab-e2ddf61fdb95,Andrews (South Carolina) Andrews,ADR,Vereinigte Staaten,int
10354a5c-44c7-403a-8323-80f1a0fc57ec,Addison,ADS,Vereinigte Staaten,int
29bffacb-cc27-4af9-9c51-13869e7bddea,Atwood,ADT,Vereinigte Staaten,int
a27a6201-5098-4e38-ac81-938017d27b35,Ardabil,ADU,Iran,int
ba6704e4-98f0-4aa2-8c68-ffdeb277cf66,Audubon,ADU,Vereinigte Staaten,int
84dfe39e-b832-41e3-a048-e91ad0f1556b,Andover,ADV,Vereinigtes Königreich,int
87f40f65-f121-47ca-af0e-0f2a7f1a0d75,Camp Springs (Maryland),ADW,Vereinigte Staaten,int
547d138d-474e-48be-a90e-4d367dd56df6,St Andrews,ADX,Vereinigtes Königreich,int
2147aa6e-bf0d-4a84-80f0-7cb14e309d34,Alldays,ADY,Südafrika,int
58fc796e-c8ce-4e1e-8478-349a92ae0df5,San Andrés (Kolumbien),ADZ,Kolumbien,int
11167855-ea66-42de-bf1c-a7cd17d2c443,Abemama,AEA,Kiribati,int
d91dcf2c-3db7-4246-b80f-aff923ba63ca,Aleneva,AED,USA,int
079fb4f7-5c50-4eb6-8105-8f87b2e59e4d,Aek Godang,AEG,Indonesien,int
a4efed17-61fc-4b53-ad0f-6f2cf0b56c60,Abéché,AEH,Tschad,int
f3f2997a-97d7-48bd-9acb-1ccb97d30978,Aseki,AEK,Papua-Neuguinea,int
410b3751-75a0-402e-9dbb-255aca1da665,Albert Lea,AEL,Vereinigte Staaten,int
fd888a90-d51c-4a48-b0af-f9c0de39fd26,Aioun el Atrouss,AEO,Mauretanien,int
fc718469-c292-4b1f-a75c-e142ce6bd4a1,Buenos Aires,AEP,Argentinien,int
c5e55e91-b9a5-41e6-a963-460df40b038b,Sotschi,AER,Russland,int
1b9d209b-424d-4129-a60e-2362f47c1e43,Ålesund (Vigra),AES,Norwegen,int
5bb87ec2-9738-46f8-811c-8d40613fa367,Allakaket,AET,Vereinigte Staaten,int
